Comune,Provincia,Regione,Nome,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Genova,GENOVA,Liguria,Nickelodeon,2013,413995838,8.94145679999999,44.4062065
Genova,GENOVA,Liguria,Nuovo Cinema Palmaro,2013,442709467,8.7748212,44.4274544
Genova,GENOVA,Liguria,Odeon,2013,253266819,8.95297339999999,44.4023028
Genova,GENOVA,Liguria,Olimpia,2009,253486101,8.935676,44.4067105999999
Genova,GENOVA,Liguria,San Giovanni Battista,2008,303163729,8.8520087,44.42969
Genova,GENOVA,Liguria,Sévori,2013,413995262,8.9369744,44.4098903
Genova,GENOVA,Liguria,The Space Cinema,2014,252806062,8.9214789,44.4082235999999
Genova,GENOVA,Liguria,UCI Cinemas Fiumara,2012,253267452,8.8805223,44.4137127999999
Ronco Scrivia,GENOVA,Liguria,Columbia,2015,3468419999,8.95089149999999,44.6126921999999
Rossiglione,GENOVA,Liguria,Cinema Comunale,2010,686595637,8.6703049,44.5622177999999
La Spezia,LA SPEZIA,Liguria,Controluce,2012,2027126976,9.8156546,44.1077784
Monterosso al Mare,LA SPEZIA,Liguria,,2015,3554116493,9.6461454,44.1453251
Bisuschio,VARESE,Lombardia,Cinema S. Giorgio,2012,1576834890,8.8722753,45.8749001999999
Gavirate,VARESE,Lombardia,Eden,2015,3844356305,8.7117774,45.8476515999999
Gavirate,VARESE,Lombardia,Garden,2015,3846864772,8.7142649,45.8433759999999
Germignaga,VARESE,Lombardia,Cinema Teatro Italia,2014,3205978480,8.7264634,45.9952869999999
Grantola,VARESE,Lombardia,Mignon,2015,3870607268,8.77277209999999,45.9502207999999
Olgiate Olona,VARESE,Lombardia,Cinema Nuovo,2011,1282636374,8.8853573,45.6325138999999
Origgio,VARESE,Lombardia,CineTeatro San Giuseppe,2010,659798280,9.0196481,45.5971820999999
Saronno,VARESE,Lombardia,Multisala Saronnese,2014,1907266823,9.0334518,45.62717
Somma Lombardo,VARESE,Lombardia,Cinema Odeon,2013,2333695682,8.7056812,45.6818132
Tradate,VARESE,Lombardia,Starplex,2012,1865594176,8.9126147,45.6983217
Travedona-Monate,VARESE,Lombardia,Santamanzio,2015,2692927046,8.67366389999999,45.8047751
Varese,VARESE,Lombardia,Cinema Teatro Nuovo,2014,1343526652,8.8352393,45.8241943
San Fedele Intelvi,COMO,Lombardia,,2013,2565813535,9.0736453,45.9712359999999
Aprica,SONDRIO,Lombardia,,2010,1026730066,10.1580397999999,46.1549850999999
Morbegno,SONDRIO,Lombardia,Cinema Iris,2015,2833186449,9.5688,46.1345499999999
