Comune,Provincia,Regione,Nome,Anno inserimento,OpenStreetMap ID,Longitudine,Latitudine
Urbino,PESARO E URBINO,Marche,Dipartimento Studi Umanistici,2015,3865483075,12.636114,43.727501
Urbino,PESARO E URBINO,Marche,Sede centrale Università degli Studi di Urbino,2015,3865483076,12.636699,43.72323
Urbino,PESARO E URBINO,Marche,Centro Integrato Servizi Didattici ed E-Learning,2015,3865504452,12.638022,43.724554
Padova,PADOVA,Veneto,Psicologia,2015,3874791858,11.893893,45.412334
Allumiere,ROMA,Lazio,Centro Residenziale Studi e Ricerche,2015,3893172838,11.908637,42.150383
Prato,PRATO,Toscana,PIN,2015,3899802233,11.098821,43.885286
Prato,PRATO,Toscana,PIN,2015,3899802234,11.098821,43.885286
Padova,PADOVA,Veneto,Dipartimento di Scienze Statistiche,2016,3926012097,11.884191,45.404533
Cento,FERRARA,Emilia-Romagna,CenTec,2016,3937480941,11.291193,44.727937
Como,COMO,Lombardia,LNESS Laboratory for Epitaxial Nanostructures,2016,3954132656,9.092781,45.801216
Bologna,BOLOGNA,Emilia-Romagna,Instituto di Cancerologia,2016,3979367433,11.357534,44.495072
Bologna,BOLOGNA,Emilia-Romagna,Opera Universitaria - Collegio Forni,2016,3979367434,11.3567,44.494616
Bologna,BOLOGNA,Emilia-Romagna,Dipartimento di Scienze Giurdiche Antonio Cicu,2016,3979367436,11.356598,44.495098
Bologna,BOLOGNA,Emilia-Romagna,Sistema Bibliotecario d'ateneo,2016,3979367437,11.356533,44.495358
Bologna,BOLOGNA,Emilia-Romagna,Dipartimento di Matematica per le Scienze Econom,2016,3979367438,11.356531,44.495604
Bologna,BOLOGNA,Emilia-Romagna,Instituto Zoni,2016,3979367439,11.356542,44.496018
Torre Annunziata,NAPOLI,Campania,Università Giurisprudenza Napoli,2016,4014215632,14.462583,40.749581
